Name,Price,Description,Category,SKU,Tags,Stock_Status
Jynx,£138.00,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.","Human Shape, Pokemon",1615,"Human Shape, jynx, Oblivious",197 in stock
Electabuzz,£125.00,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.","Electric, Pokemon",7699,"electabuzz, Electric, Static",63 in stock
Magmar,£130.00,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings.","Pokemon, Spitfire",8655,"Flame Body, magmar, Spitfire",16 in stock
Pinsir,£141.00,"Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes, making it tough for the foe to escape.","Pokemon, Stag Beetle",2091,"Hyper Cutter, pinsir, Stag Beetle",29 in stock
Tauros,£63.00,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.","Pokemon, Wild Bull",2149,"Intimidate, tauros, Wild Bull",298 in stock
Magikarp,£43.00,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is.","Fish, Pokemon",6706,"Fish, magikarp, Swift Swim",126 in stock
Gyarados,£79.00,"Once Gyarados goes on a rampage, its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month.","Atrocious, Pokemon",9629,"Atrocious, gyarados, Intimidate",100 in stock
Lapras,£172.00,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.","Pokemon, Transport",7759,"lapras, Transport, Water Absorb",89 in stock
Ditto,£75.00,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.","Pokemon, Transform",5061,"ditto, Limber, Transform",177 in stock
Eevee,£112.00,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,"Evolution, Pokemon",3593,"eevee, Evolution, Run Away",234 in stock
Vaporeon,£147.00,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.,"Bubble Jet, Pokemon",5437,"Bubble Jet, vaporeon, Water Absorb",226 in stock
Jolteon,£158.00,"Jolteon’s cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.","Lightning, Pokemon",4119,"jolteon, Lightning, Volt Absorb",37 in stock
Flareon,£34.00,"Flareon’s fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon’s body temperature can rise to a maximum of 1,650 degrees Fahrenheit.","Flame, Pokemon",8149,"Flame, flareon, Flash Fire",142 in stock
Porygon,£178.00,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying.,"Pokemon, Virtual",7940,"porygon, Trace, Virtual",156 in stock
Omanyte,£162.00,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.","Pokemon, Spiral",4569,"omanyte, Shell Armor, Spiral",13 in stock
Omastar,£61.00,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.","Pokemon, Spiral",3283,"omastar, Shell Armor, Spiral",249 in stock
Kabuto,£79.00,"Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.","Pokemon, Shellfish",9584,"kabuto, Shellfish, Swift Swim",187 in stock
Kabutops,£57.00,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,"Pokemon, Shellfish",4736,"kabutops, Shellfish, Swift Swim",228 in stock
Aerodactyl,£56.00,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,"Fossil, Pokemon",1801,"aerodactyl, Fossil, Rock Head",257 in stock
Snorlax,£134.00,Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,"Pokemon, Sleeping",9883,"Sleeping, snorlax, Thick Fat",260 in stock
Articuno,£77.00,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.","Freeze, Pokemon",6040,"articuno, Freeze, Pressure",101 in stock
Zapdos,£133.00,Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,"Electric, Pokemon",7213,"Electric, Pressure, zapdos",265 in stock
Moltres,£178.00,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.","Flame, Pokemon",2571,"Flame, moltres, Pressure",208 in stock
Dratini,£94.00,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,"Dragon, Pokemon",2799,"Dragon, dratini, Shed Skin",275 in stock
Dragonair,£57.00,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,"Dragon, Pokemon",5641,"Dragon, dragonair, Shed Skin",119 in stock
Dragonite,£69.00,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,"Dragon, Pokemon",9175,"Dragon, dragonite, Inner Focus",127 in stock
Mewtwo,£43.00,"Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon’s body, they failed to endow Mewtwo with a compassionate heart.","Genetic, Pokemon",4630,"Genetic, mewtwo, Pressure",78 in stock
Mew,£136.00,"Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.","New Species, Pokemon",4382,"mew, New Species, Synchronize",152 in stock
Chikorita,£127.00,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.","Leaf, Pokemon",2657,"chikorita, Leaf, Overgrow",98 in stock
Bayleef,£44.00,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,"Leaf, Pokemon",1272,"bayleef, Leaf, Overgrow",299 in stock
Meganium,£163.00,"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.","Herb, Pokemon",5778,"Herb, meganium, Overgrow",71 in stock
Cyndaquil,£154.00,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.","Fire Mouse, Pokemon",3987,"Blaze, cyndaquil, Fire Mouse",184 in stock
Quilava,£85.00,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,"Pokemon, Volcano",6999,"Blaze, quilava, Volcano",263 in stock
Typhlosion,£191.00,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,"Pokemon, Volcano",5228,"Blaze, typhlosion, Volcano",118 in stock
Totodile,£190.00,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.","Big Jaw, Pokemon",4342,"Big Jaw, Torrent, totodile",285 in stock
Croconaw,£175.00,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.","Big Jaw, Pokemon",9299,"Big Jaw, croconaw, Torrent",255 in stock
Feraligatr,£183.00,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.","Big Jaw, Pokemon",9344,"Big Jaw, feraligatr, Torrent",175 in stock
Sentret,£48.00,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.","Pokemon, Scout",2687,"Keen Eye, Scout, sentret",83 in stock
Furret,£154.00,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.","Long Body, Pokemon",4876,"furret, Keen Eye, Long Body",85 in stock
Hoothoot,£48.00,"Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day.","Owl, Pokemon",4691,"hoothoot, Keen Eye, Owl",204 in stock
Noctowl,£170.00,"Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight.","Owl, Pokemon",9939,"Keen Eye, noctowl, Owl",10 in stock
Ledyba,£98.00,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.,"Five Star, Pokemon",3874,"Five Star, ledyba, Swarm",83 in stock
Ledian,£136.00,"It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.","Five Star, Pokemon",1806,"Five Star, ledian, Swarm",65 in stock
Spinarak,£199.00,The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.,"Pokemon, String Spit",4388,"spinarak, String Spit, Swarm",136 in stock
Ariados,£85.00,Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.,"Long Leg, Pokemon",9759,"ariados, Long Leg, Swarm",50 in stock
Crobat,£195.00,Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.,"Bat, Pokemon",6120,"Bat, crobat, Inner Focus",245 in stock
Chinchou,£59.00,"Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power, it even makes itself tingle slightly.","Angler, Pokemon",2651,"Angler, chinchou, Illuminate",130 in stock
Lanturn,£131.00,"Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night.","Light, Pokemon",7579,"Illuminate, lanturn, Light",218 in stock
Pichu,£193.00,"When Pichu plays with others, it may short out electricity with another Pichu, creating a shower of sparks. In that event, this Pokémon will begin crying, startled by the flash of sparks.","Pokemon, Tiny Mouse",4987,"pichu, Static, Tiny Mouse",64 in stock
Cleffa,£107.00,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.","Pokemon, Star Shape",2794,"cleffa, Cute Charm, Star Shape",187 in stock
Igglybuff,£189.00,Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.,"Balloon, Pokemon",2662,"Balloon, Cute Charm, igglybuff",170 in stock
Togepi,£47.00,"As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.","Pokemon, Spike Ball",1684,"Serene Grace, Spike Ball, togepi",264 in stock
Togetic,£69.00,"Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.","Happiness, Pokemon",9410,"Happiness, Serene Grace, togetic",293 in stock
Natu,£99.00,Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.,"Pokemon, Tiny Bird",2942,"natu, Synchronize, Tiny Bird",36 in stock
Xatu,£123.00,Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.,"Mystic, Pokemon",7616,"Mystic, Synchronize, xatu",196 in stock
Mareep,£79.00,"Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.","Pokemon, Wool",2016,"mareep, Static, Wool",152 in stock
Flaaffy,£163.00,Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,"Pokemon, Wool",9291,"flaaffy, Static, Wool",64 in stock
Ampharos,£41.00,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.,"Light, Pokemon",2141,"ampharos, Light, Static",247 in stock
Bellossom,£25.00,"A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night, this Pokémon closes its petals and goes to sleep.","Flower, Pokemon",7003,"bellossom, Chlorophyll, Flower",234 in stock
Marill,£127.00,"When fishing for food at the edge of a fast-running stream, Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.","Aqua Mouse, Pokemon",4728,"Aqua Mouse, marill, Thick Fat",55 in stock
Azumarill,£175.00,Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.,"Aqua Rabbit, Pokemon",9464,"Aqua Rabbit, azumarill, Thick Fat",300 in stock
Sudowoodo,£54.00,"Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.","Imitation, Pokemon",1558,"Imitation, Rock Head, sudowoodo",147 in stock
Politoed,£193.00,"The curled hair on Politoed’s head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.","Frog, Pokemon",9168,"Damp, Frog, politoed",261 in stock
Hoppip,£107.00,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.","Cottonweed, Pokemon",1154,"Chlorophyll, Cottonweed, hoppip",266 in stock
Skiploom,£185.00,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.","Cottonweed, Pokemon",2616,"Chlorophyll, Cottonweed, skiploom",94 in stock
Jumpluff,£107.00,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,"Cottonweed, Pokemon",2168,"Chlorophyll, Cottonweed, jumpluff",235 in stock
Aipom,£182.00,"Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.","Long Tail, Pokemon",8103,"aipom, Long Tail, Run Away",92 in stock
Sunkern,£150.00,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.","Pokemon, Seed",4061,"Chlorophyll, Seed, sunkern",255 in stock
Sunflora,£33.00,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,"Pokemon, Sun",7947,"Chlorophyll, sun, sunflora",163 in stock
Yanma,£130.00,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,"Clear Wing, Pokemon",8321,"Clear Wing, Compound Eyes, yanma",130 in stock
Wooper,£98.00,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.","Pokemon, Water Fish",4198,"Damp, Water Fish, wooper",48 in stock
Quagsire,£37.00,"Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.","Pokemon, Water Fish",2688,"Damp, quagsire, Water Fish",292 in stock
Espeon,£177.00,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.,"Pokemon, Sun",9676,"espeon, sun, Synchronize",153 in stock
Umbreon,£78.00,Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.,"Moonlight, Pokemon",4995,"Moonlight, Synchronize, umbreon",186 in stock
Murkrow,£178.00,Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.,"Darkness, Pokemon",2223,"Darkness, Insomnia, murkrow",246 in stock
Slowking,£174.00,"Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.","Pokemon, Royal",9664,"Oblivious, Royal, slowking",55 in stock
Misdreavus,£33.00,"Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.","Pokemon, Screech",9272,"Levitate, misdreavus, Screech",207 in stock
Unown,£198.00,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.","Pokemon, Symbol",9561,"Levitate, Symbol, unown",47 in stock
Wobbuffet,£107.00,"Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond.","Patient, Pokemon",6138,"Patient, Shadow Tag, wobbuffet",113 in stock
Girafarig,£99.00,"Girafarig’s rear head contains a tiny brain that is too small for thinking. However, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day.","Long Neck, Pokemon",7871,"girafarig, Inner Focus, Long Neck",31 in stock
Gligar,£112.00,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.","Fly Scorpion, Pokemon",5090,"Fly Scorpion, gligar, Sand Veil",140 in stock
Steelix,£116.00,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.,"Iron Snake, Pokemon",4345,"Iron Snake, Rock Head, steelix",157 in stock
Snubbull,£63.00,"By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.","Fairy, Pokemon",3961,"Fairy, Run Away, snubbull",164 in stock
Granbull,£59.00,"Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.","Fairy, Pokemon",7346,"Fairy, granbull, Intimidate",171 in stock
Qwilfish,£77.00,"Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.","Balloon, Pokemon",3335,"Balloon, Poison Point, qwilfish",297 in stock
Scizor,£172.00,Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.,"Pincer, Pokemon",9056,"Pincer, scizor, Swarm",198 in stock
Shuckle,£194.00,"Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.","Mold, Pokemon",7903,"Mold, shuckle, Sturdy",74 in stock
Heracross,£143.00,"Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.","Pokemon, Single Horn",9256,"heracross, Single Horn, Swarm",49 in stock
Sneasel,£108.00,Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.,"Pokemon, Sharp Claw",5017,"Keen Eye, Sharp Claw, sneasel",141 in stock
Teddiursa,£173.00,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,"Little Bear, Pokemon",7681,"Little Bear, Pickup, teddiursa",274 in stock
Ursaring,£31.00,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.","Hibernator, Pokemon",7576,"Guts, Hibernator, ursaring",209 in stock
Magcargo,£36.00,"Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.","Lava, Pokemon",3917,"Flame Body, Lava, magcargo",210 in stock
Swinub,£132.00,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.,"Pig, Pokemon",8647,"Oblivious, Pig, swinub",250 in stock
Piloswine,£84.00,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.,"Pokemon, Swine",4003,"Oblivious, piloswine, Swine",276 in stock
Corsola,£27.00,"Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls, this Pokémon migrates to the southern seas.","Coral, Pokemon",5281,"Coral, corsola, Natural Cure",162 in stock
Remoraid,£122.00,"Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers.","Jet, Pokemon",4952,"Jet, remoraid, Sniper",46 in stock
Octillery,£94.00,"Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape.","Jet, Pokemon",9000,"Jet, octillery, Sniper",150 in stock
Delibird,£121.00,"Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain, thanks to one of these Pokémon sharing its food.","Delivery, Pokemon",6280,"delibird, Delivery, Vital Spirit",141 in stock
Mantine,£114.00,"On sunny days, schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides.","Kite, Pokemon",3704,"Kite, mantine, Water Absorb",195 in stock
Skarmory,£199.00,"Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year, the battered wings grow back completely, restoring the cutting edges to their pristine state.","Armor Bird, Pokemon",1057,"Armor Bird, Keen Eye, skarmory",102 in stock
Houndour,£144.00,Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.,"Dark, Pokemon",7965,"Dark, Flash Fire, houndour",184 in stock
Houndoom,£78.00,"In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.","Dark, Pokemon",2081,"Dark, Flash Fire, houndoom",40 in stock
Kingdra,£124.00,"Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives, the Pokémon is said to awaken and wander about in search of prey.","Dragon, Pokemon",7090,"Dragon, kingdra, Swift Swim",206 in stock
Phanpy,£129.00,"Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.","Long Nose, Pokemon",7852,"Long Nose, phanpy, Pickup",120 in stock
Donphan,£89.00,"If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails.","Armor, Pokemon",3134,"Armor, donphan, Sturdy",197 in stock
Porygon2,£151.00,Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own.,"Pokemon, Virtual",4420,"porygon2, Trace, Virtual",210 in stock
Stantler,£33.00,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.","Big Horn, Pokemon",3706,"Big Horn, Intimidate, stantler",278 in stock
Smeargle,£151.00,"Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found.","Painter, Pokemon",6497,"Painter, smeargle, Technician",56 in stock
Tyrogue,£145.00,"Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods.","Pokemon, Scuffle",7594,"Guts, Scuffle, tyrogue",76 in stock
Hitmontop,£149.00,"Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.","Handstand, Pokemon",3340,"Handstand, hitmontop, Intimidate",47 in stock
Smoochum,£166.00,"Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn’t become dirty.","Kiss, Pokemon",7637,"Kiss, Oblivious, smoochum",116 in stock
Elekid,£104.00,"Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity, this Pokémon begins swinging its arms in circles to recharge itself.","Electric, Pokemon",5157,"Electric, elekid, Static",131 in stock
Magby,£40.00,"Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames.","Live Coal, Pokemon",5864,"Flame Body, Live Coal, magby",21 in stock
Miltank,£26.00,Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can’t drink milk turn it into yogurt and eat it instead.,"Milk Cow, Pokemon",1586,"Milk Cow, miltank, Thick Fat",12 in stock
Blissey,£31.00,"Blissey senses sadness with its fluffy coat of fur. If it does so, this Pokémon will rush over to a sad person, no matter how far away, to share a Lucky Egg that brings a smile to any face.","Happiness, Pokemon",8632,"blissey, Happiness, Natural Cure",289 in stock
Raikou,£66.00,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,"Pokemon, Thunder",5989,"Pressure, raikou, Thunder",276 in stock
Entei,£27.00,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,"Pokemon, Volcano",9592,"entei, Pressure, Volcano",36 in stock
Suicune,£68.00,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,"Aurora, Pokemon",8586,"Aurora, Pressure, suicune",275 in stock
Larvitar,£26.00,"Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents.","Pokemon, Rock Skin",9302,"Guts, larvitar, Rock Skin",31 in stock
Pupitar,£114.00,Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.,"Hard Shell, Pokemon",4140,"Hard Shell, pupitar, Shed Skin",221 in stock
Tyranitar,£190.00,"Tyranitar is so overwhelmingly powerful, it can bring down a whole mountain to make its nest. This Pokémon wanders about in mountains seeking new opponents to fight.","Armor, Pokemon",8144,"Armor, Sand Stream, tyranitar",86 in stock
Lugia,£86.00,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.","Diving, Pokemon",2564,"Diving, lugia, Pressure",57 in stock
Ho-oh,£91.00,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.,"Pokemon, Rainbow",2198,"ho-oh, Pressure, Rainbow",228 in stock
Celebi,£111.00,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.","Pokemon, Time Travel",1144,"celebi, Natural Cure, Time Travel",154 in stock
